,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio,photo_id
73,57.91492353647948,12.334566375017166,20.91130714774132,63.94436088860036,12.961387814581395,22.792420915067197,103.70255470275879,101.74585324525833,44.343804854154584,0.18610862255096436,0.7252786028385162,0.19981030106544495,7704.0
74,65.64,17.99,20.87,69.71,18.81,21.77,136.4,141.7,52.74,0.16,0.78,0.20000000000000004,6836.0
75,67.8648074233532,17.828162255287168,21.598430762887002,72.10560021042824,18.737949377000334,22.723084812164306,132.97058868408203,136.32472935914993,59.37438957095146,0.1732201910018921,0.852985079884529,0.19999999821186065,6836.0
76,81.48,20.69,26.9,85.66,21.72,28.3,126.9,127.9,88.08,0.18,1.07,0.20000000000000004,7414.0
77,80.47255481362343,20.33747748374939,26.49984561085701,84.42877580046654,21.349450808763503,27.960696182250977,126.05293464660645,125.5934971690178,86.26431370675563,0.17953207254409792,1.0629259902238846,0.19996484994888306,7414.0
78,69.41,16.82,23.42,72.29,17.72,24.65,120.8,119.30000000000001,75.02000000000001,0.21000000000000002,1.09,0.20000000000000004,7359.0
79,69.73702446460725,16.93637748301029,23.460131258368495,72.98393761515618,17.873466898202896,24.648972930908204,122.74090003967285,119.7960254251957,74.11914741545915,0.20459025859832763,1.0460555779933929,0.19998850166797638,7359.0
80,61.37,15.29,20.53,65.87,16.11,21.38,127.1,131.6,54.96999999999999,0.2,0.8700000000000001,0.20000000000000004,6872.0
81,62.48853815793992,15.62982170522213,20.5896736112237,66.78209030866623,16.454164444804192,21.672005277574062,126.99104652404786,128.28954762816429,56.46951335668563,0.19472747802734375,0.8742438095808028,0.20002996325492858,6872.0
82,69.93,17.7,20.82,69.66,18.62,21.88,132.1,142.5,64.25999999999999,0.2,0.96,0.20000000000000004,6903.0
83,68.31475568890572,17.837347360849378,21.65539640188217,71.87514909505845,18.782845216989518,22.711090947389604,132.4557945251465,139.0033328652382,67.71886852085589,0.1930511808395386,0.9756355929374694,0.19997708439826964,6903.0
84,87.23,18.07,32.89,91.68,19.01,34.61,97.6,81.8,99.8,0.19,1.14,0.20000000000000004,6930.0
85,86.6810413169861,17.940656163692474,31.9196735060215,91.05820747733117,18.872667218446733,33.7311523103714,102.64593467712403,84.42799854874612,96.86272990703583,0.18638630867004397,1.1110417413711546,0.19980775952339172,6930.0
86,78.1,19.37,26.29,82.79,20.46,27.72,126.0,131.2,90.18,0.19,1.14,0.20000000000000004,7291.0
87,79.00598674297333,19.3543036916852,26.26686177968979,82.23922692418098,20.40472840487957,27.564213863015173,125.61464080810548,129.9468036234379,88.90777670145035,0.1927885150909424,1.126552488207817,0.2000115704536438,7291.0
88,83.78,22.06,26.56,86.84,23.19,27.94,131.6,129.1,90.68,0.18,1.09,0.20000000000000004,7413.0
89,82.26429558038713,21.39782608985901,26.65212347149849,85.82809496164322,22.449917043447496,28.005894906520844,130.41771621704103,127.86143440008163,90.2135263979435,0.17756997108459474,1.0935201036930082,0.19990155279636382,7413.0
90,86.09,21.09,28.92,90.7,22.22,30.45,126.9,127.9,77.18999999999998,0.14,0.8799999999999999,0.20000000000000004,6800.0
91,85.34423023581506,20.93571332633495,28.55590083897114,89.4933349275589,21.994531468153,29.914887565374375,126.38564872741699,126.13314816951753,80.76104188561439,0.14439354896545412,0.9168635982275009,0.20001846551895142,6800.0
92,71.88,17.27,24.32,74.2,18.2,25.46,123.1,119.80000000000001,65.09999999999998,0.18,0.91,0.20000000000000004,7345.0
93,71.71827258706094,17.360942535996436,24.14647930443287,75.06871987164021,18.322290318608285,25.321273397803306,124.2997299194336,120.85453199148179,67.15756530463695,0.1791030025482178,0.9272576230764388,0.1999939465522766,7345.0
94,88.9,22.7,28.92,93.38,23.86,30.4,134.4,133.0,126.7,0.21000000000000002,1.42,0.20000000000000004,6831.0
95,87.56368626356125,21.89994642972946,28.812221921682358,91.49795436382294,23.01896806180477,30.14062419772148,133.59168853759766,130.73437105417253,116.44111136198043,0.209634325504303,1.3550576883554457,0.20001962184906005,6831.0
96,69.88,19.21,22.01,73.11,20.21,23.11,138.0,141.1,73.06,0.19,1.04,0.20000000000000004,7239.0
