line,photo_id,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
238,7378,71.69,19.1,23.05,75.41,20.10,24.09,120.80,146.10,75.53,0.19,1.05,0.20
428,7380,83.14,22.49,26.19,87.11,23.61,27.49,132.90,144.90,103.10,0.19,1.24,0.20
251,7384,83.23,20.98,27.2,86.79,21.97,28.58,127.10,138.20,109.61,0.21,1.33,0.20
480,7387,62.3,17.14,19.71,68.79,17.92,20.77,143.10,128.20,36.19,0.12,0.54,0.20
247,7388,78.72,20.56,24.26,79.53,21.63,25.23,128.60,127.00,81.41,0.19,1.08,0.20
105,7389,78.55,21.4,24.82,82.03,22.50,26.13,134.80,132.10,81.33,0.18,1.03,0.20
387,7390,80.97,18.28,28.89,84.72,19.20,30.23,114.60,106.60,81.59,0.18,1.00,0.20
402,7392,104.45,20.05,39.53,110.53,21.16,41.42,100.40,92.40,113.64,0.16,1.07,0.20
397,7393,77.99,16.99,27.52,81.00,17.75,28.81,116.20,96.90,78.95,0.19,1.02,0.21
481,7394,76.51,19.9,25.14,80.11,20.96,26.46,113.00,139.30,76.89,0.18,1.00,0.20
274,7395,89.06,20.84,29.74,90.78,21.94,30.73,124.60,127.80,88.49,0.16,1.01,0.20
15,7397,92.11,22.83,28.15,90.81,24.03,29.28,143.10,127.30,100.44,0.18,1.15,0.20
32,7399,85.11,21.61,27.7,88.33,22.66,29.14,133.80,122.80,83.77,0.16,0.98,0.20
31,7400,82.65,22.33,26.33,87.25,23.45,27.44,134.10,145.40,92.30,0.18,1.10,0.20
187,7401,96.21,21.56,34.58,100.71,22.66,36.01,111.20,105.10,103.32,0.16,1.06,0.20
1191,7402,60.74,16.56,19.61,66.21,17.19,20.46,128.20,138.70,49.91,0.18,0.78,0.20
816,7403,73.59,18.99,24.5,77.80,19.99,25.79,137.80,117.10,73.05,0.18,0.98,0.20
1115,7407,83.02,16.06,31.01,87.60,16.64,32.63,87.70,81.70,67.01,0.16,0.79,0.20
734,7409,61.09,14.26,20.8,65.55,14.96,21.91,131.90,121.10,47.10,0.18,0.75,0.20
